,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Afghanistan,223736.5748,235730.9772,267176.8892,277497.5992,334620.7752,362857.4928,386367.6549,440336.019,465358.2229,477909.0387,482628.8116,493073.3608,506215.1142,519882.9223,...
1,Algeria,5285319.186,5374349.77,5555619.878,5686740,5779561.463,5988556.441,6157618.348,6366418.969,6544678.7,6793376.491,7044731.421,7270162.827,7364674.944,7467780.393,...
2,Angola,874608.4881,975605.5053,1112289.075,1236487.461,1247103.535,1307703.034,1353106.24,1468690.569,1541458.172,1615796.927,1631043.193,1588960.693,1586577.252,1567538.325,...
3,Anguilla,637.77,765.39,869.88,858.21,699.7,667.8,691.26,651.39,647.1,679.89,701.29,683.89,638.46,708.07,...
4,Antigua and Barbuda,2771.000002,3123.914691,3413.302372,3412.387726,2999.132407,2783.318194,2725.234825,2820.476549,2817.853392,2898.36,3009.2,3174.66,3274.51,3516.47,...
5,Argentina,528055.9425,570549.4042,621942.5027,647176.1598,608872.8764,670523.6795,710781.5972,703485.9895,720407.1053,702306.046,721487.1466,706477.8486,725330.8485,707329.6423,...
6,Armenia,2172495.6,2538896.4,3021394.7,3368084.7,3063323.8,3211242,3621128.5,4048644.9,4405450.9,4721560.7,4984858.2,5053172.3,...,...,...
7,Aruba,3505.784391,3542.632506,3614.701008,3620.230629,3209.917621,3102.732565,3211.482114,3167.537305,3299.459912,3329.283084,3314.378437,3310.270495,3351.273756,...,...
8,Azerbaijan,12522.7,16838.8,21126.5,23364.1,25553.2,26776.9,26355.7,26936.3,28510.3,29307.9,29615.5,28708.2,28752.3,29031.4,...
9,Bahamas,10457.52386,10720.72405,10875.79629,10623.05358,10179.50554,10336.15245,10399.503,10720.5,10404.03818,10480.66525,10543.2958,10590.3456,10597.41352,10763.33946,...
10,Bahrain,7377.296104,7854.39,8505.83,9036.75,9266.33,9668.19,9859.96,10227.56,10781.53,11250.65,11572.75,11973.37,12422.77,...,...
11,Bangladesh,4673431270,4993600000,5319100000,5612465000,5910765000,6267195000,6674175000,7091945000,7520160000,7994990000,8542005000,9157190000,9851685000,10633355200,...
12,Barbados,8981.95782,9491.108263,9700.094129,9767.76824,9271.974359,9059.857038,8998.900766,8958.437479,8831.998031,8820.833954,9036.63398,9261.224493,9305.448856,9251.197146,...
13,Belarus,51360.20057,56495.18659,61380.47055,67670.94683,67781.59443,73028.4334,77076.91487,78411.41781,79214.33882,80579.27,77493.43,75535.6,77448.3,79887.3,...
14,Belize,2156.1,2254.8,2279.7,2353.4,2372.1,2450.7,2502.3,2596.1,2613.957592,2719.70009,2822.912502,2809.158262,2830.365101,...,...
15,Benin,4453159.616,4628781.371,4905875.512,5146095.968,5265449.319,5376763.563,5536117.854,5802472.807,6219753.627,6615185.529,6732814,6957668,7352276.451,7844677.052,...
16,Bhutan,27919.262,29868.37981,33623.12841,37238.41474,39369.25577,43041.28447,47224.71346,50260.25003,52054.77986,54117.69092,57463.97416,61668.22234,66220.8337,...,...
17,Bolivia,26030.23979,27278.91267,28524.02712,30277.82631,31294.25276,32585.67979,34281.46867,36037.46003,38486.56986,40588.15583,42559.59855,44374.306,46235.89983,...,...
18,Bosnia and Herzegovina,21441.704,22661.99,24016.984,25360.408,25153.50203,25346.49211,25576.69963,25338.02307,25944.66249,26225.35102,27016.28814,27553.28223,...,...,...
19,Botswana,54544.7,59106.8,64001,67996.11379,62792.77115,68170.14625,72293.30435,75514.80012,84080.74334,87569.47243,86082.59909,89787.36902,92397.96529,96512.98818,...
20,Brazil,905575,941453.8,998598.8,1049469.4,1048149.1,1127056,1171850.1,1194363.3,1230251.8,1236451.7,1192610,1151313.3,...,...,...
21,Brunei Darussalam,18097.56892,18896.03475,18918.73634,18544.32448,18207.0107,18689.78289,19389.60431,19566.65764,19150.90859,18670.6254,18594.97057,18136.53754,18377.28373,18387.1,...
